"DeliveryID","OrderID","DeliveryPartner","DeliveryDateTime","DeliveryAmount","DeliveryStatus"
1,1,"Frazier, Anderson and Rodriguez","2024-11-30 19:53:00.0",32.8,"Cancelled"
3,3,"Khan, Hernandez and Baldwin","2024-11-01 21:42:00.0",28.15,"Cancelled"
4,4,"Dodson, Fleming and Butler","2024-11-23 20:59:00.0",36.95,"Cancelled"
6,6,"Anderson Group","2024-11-08 11:11:00.0",28.09,"Completed"
8,8,"Sellers Inc","2024-11-13 18:01:00.0",10.49,"Completed"
10,10,"Fischer and Sons","2024-11-28 14:25:00.0",48.6,"Cancelled"
12,12,"Durham Inc","2024-11-01 15:54:00.0",34.08,"In Progress"
14,14,"Smith PLC","2024-11-03 13:05:00.0",22.18,"Completed"
18,18,"Marsh-Williams","2024-11-11 19:06:00.0",38.38,"In Progress"
21,21,"Valencia Ltd","2024-11-12 11:34:00.0",7.17,"Cancelled"
24,24,"Duran, Fuller and Reyes","2024-11-13 20:00:00.0",42.38,"In Progress"
25,25,"Brown, King and Stout","2024-11-13 14:26:00.0",18.65,"Completed"
27,27,"Turner-Hart","2024-11-01 20:46:00.0",27.06,"In Progress"
28,28,"Gallagher, Roberson and Bean","2024-11-09 13:39:00.0",23.8,"Completed"
30,30,"Miller and Sons","2024-11-12 17:03:00.0",17.28,"In Progress"
31,31,"Walker PLC","2024-11-25 11:26:00.0",32.68,"Completed"
32,32,"Richards-Jones","2024-11-19 23:23:00.0",17.73,"Cancelled"
33,33,"Marsh-Williams","2024-11-11 23:38:00.0",30.18,"Cancelled"
40,40,"Burton Inc","2024-11-17 11:51:00.0",33.02,"In Progress"
42,42,"Rogers-Brown","2024-11-07 22:17:00.0",24.64,"In Progress"
43,43,"Marquez PLC","2024-11-19 20:17:00.0",25.33,"Cancelled"
49,49,"Williams, Anderson and Rodriguez","2024-11-18 00:31:00.0",7.94,"In Progress"
51,51,"Lopez, Hughes and Harmon","2024-11-29 19:32:00.0",8.47,"Cancelled"
52,52,"Hill, Vincent and Alvarez","2024-11-17 18:52:00.0",41.29,"Completed"
53,53,"Walker-Davis","2024-11-20 14:11:00.0",36.03,"Completed"
60,60,"Riggs PLC","2024-11-06 00:23:00.0",13.97,"Completed"
63,63,"Walker PLC","2024-11-06 19:38:00.0",18.36,"Completed"
64,64,"Adams, Guerra and Fields","2024-11-09 20:43:00.0",47.78,"Completed"
72,72,"Williams, Anderson and Rodriguez","2024-11-11 15:58:00.0",10.72,"Cancelled"
75,75,"Hawkins Ltd","2024-11-20 16:14:00.0",17.67,"In Progress"
76,76,"Molina-Bailey","2024-11-25 19:27:00.0",48.17,"Completed"
